best_seller,course_rating_avarage,course_price,num_of_buyers_students,amount_of_instructor_studnets,num_articles,video_time_length,number_of_languages,last_update,instructor_rank,amount_of_what_you_will_learn_count,amount_of_requirments_count,amount_of_companies_support,course_rating_amount
1,4.6,59.9,542316,2853435,13,25.0,9,760,4.6,16,6,5,115128
0,4.6,59.9,136543,59799,4,9.0,8,425,4.7,8,7,5,40180
0,4.5,59.9,224747,547988,1,13.5,2,30,4.5,18,7,5,20177
0,4.5,59.9,93333,704228,1,2.5,7,30,4.5,1,6,5,26088
0,4.6,59.9,10352,395969,39,20.0,2,60,4.5,7,6,5,478
0,4.6,59.9,1770,5433,1,26.5,2,580,4.6,5,6,5,332
0,4.9,59.9,3711,36598,19,8.5,2,90,4.6,5,8,0,1075
1,4.6,59.9,2789,16348,13,4.5,2,60,4.6,6,8,5,655
0,4.8,59.9,4031,1257200,2,14.0,2,30,4.7,5,6,5,326
0,4.6,59.9,39789,2853435,2,9.5,2,1005,4.6,8,5,5,7339
0,4.3,59.9,24605,395969,145,2.0,2,150,4.5,6,6,5,2639
0,4.8,59.9,33305,247573,2,9.5,2,90,4.3,17,6,0,312
1,4.8,59.9,5525,70454,20,16.0,2,30,4.7,15,6,5,538
0,4.5,59.9,9597,263525,5,6.0,2,395,4.5,2,6,5,2542
0,4.7,59.9,2640,2907,7,28.5,2,90,4.9,8,7,5,704
0,4.8,59.9,25777,771308,26,17.5,2,215,4.7,3,7,5,4559
0,4.7,59.9,31286,10159,107,14.5,2,485,4.6,9,6,5,4888
0,4.2,59.9,266147,1153502,1,5.0,2,60,4.2,6,5,0,7621
0,4.6,59.9,2941,41665,19,16.0,2,185,4.5,11,6,0,670
0,4.2,59.9,1941,268,1,14.0,2,215,4.2,18,6,0,268
0,4.7,59.9,3888,5631,1,24.0,2,395,4.6,1,6,0,176
0,4.7,59.9,6391,2853435,2,19.5,2,90,4.6,11,7,5,805
0,4.5,59.9,152266,204222,1,3.5,2,215,4.5,3,6,5,11123
0,4.7,59.9,1772,114,3,11.5,2,30,4.7,6,6,5,114
0,4.7,59.9,267621,50418,2,13.0,2,670,4.6,6,6,5,7548
0,4.3,59.9,85182,189328,1,4.0,2,60,4.3,5,6,0,969
0,4.6,59.9,18900,771308,23,23.0,2,215,4.7,3,6,5,2846
1,4.6,59.9,21495,38845,4,15.0,2,30,4.6,10,6,5,3599
0,4.7,59.9,9345,2853435,10,23.0,2,30,4.6,15,6,5,801
0,4.2,59.9,224501,704589,1,7.5,2,610,4.2,4,5,0,2549
0,4.3,59.9,88740,106292,16,21.0,2,150,4.4,17,9,0,1334
1,4.3,59.9,187823,2853435,3,21.0,8,1005,4.6,7,6,0,17646
0,4.1,59.9,135618,300481,71,10.0,2,30,3.9,15,6,0,780
0,4.6,59.9,35707,2098408,2,9.0,2,425,4.6,10,6,5,1365
1,4.6,59.9,31872,7729,6,26.5,7,120,4.6,9,6,5,5259
0,4.6,59.9,9150,12881,129,15.5,2,30,4.6,8,8,5,1659
0,4.4,59.9,7249,73590,39,17.0,2,150,4.1,7,5,0,203
0,4.5,59.9,93782,395969,36,4.0,2,245,4.5,10,8,5,9179
0,4.6,59.9,33909,2853435,3,15.5,6,700,4.6,7,6,5,6260
0,4.6,59.9,40736,94966,14,20.0,2,90,4.2,10,6,0,334
1,4.8,59.9,1722,9451,15,21.5,2,60,4.6,3,7,5,109
1,4.6,59.9,11047,52669,5,11.0,2,120,4.6,6,5,5,1890
0,4.4,59.9,3316,53496,37,27.0,2,485,4.5,9,6,0,750
0,4.6,59.9,42727,2853435,4,14.0,10,455,4.6,13,6,5,8023
0,4.5,59.9,37066,52669,13,20.0,3,30,4.6,8,7,5,5495
1,4.5,59.9,3205,43513,21,17.5,2,30,4.6,8,5,5,435
0,4.8,59.9,11239,51296,21,10.0,2,60,4.6,6,8,0,57
0,4.7,59.9,9628,9,16,13.5,2,150,4.6,6,6,5,1247
0,4.5,59.9,11552,62308,3,8.5,2,60,4.5,5,6,5,179
1,4.8,59.9,251,70344,3,9.5,2,30,4.4,6,6,0,38
0,4.5,59.9,1714,14638,2,5.0,2,455,4.6,6,5,0,251
1,4.4,59.9,111650,2853435,9,16.5,10,550,4.6,12,6,5,16578
0,4.4,59.9,5069,978618,1,8.0,2,335,4.5,10,6,5,1003
0,4.4,59.9,72213,2853435,20,16.5,10,1005,4.6,4,6,5,10521
0,4.6,59.9,12067,11242,2,12.0,2,215,4.5,8,6,5,2201
1,4.5,59.9,6425,70454,19,15.5,2,30,4.7,17,6,5,473
0,4.3,59.9,38747,43513,24,4.5,2,305,4.6,8,5,0,693
1,4.7,59.9,803,2833,1,14.0,2,90,4.8,10,6,0,76
1,4.6,59.9,27931,11583,8,23.0,5,30,4.5,6,5,5,5478
1,4.6,59.9,7155,70454,5,13.5,2,30,4.7,18,6,5,422
0,4.5,59.9,14112,2098408,6,5.0,2,30,4.6,8,6,5,3418
0,4.6,59.9,5328,20289,1,20.5,2,30,4.5,24,6,5,858
0,4.6,59.9,16392,263525,12,8.5,2,700,4.5,12,5,5,4043
0,4.7,59.9,95246,2098408,18,23.0,2,550,4.6,14,6,5,3864
